Rank,City,Population
634,Bret Harte,"5,319"
635,Wilton,"5,307"
636,Myrtletown,"5,290"
637,Broadmoor,"5,286"
638,Big Bear Lake,"5,279"
639,Burbank,"5,252"
640,Calistoga,"5,247"
641,Lake Wildwood,"5,208"
642,Denair,"5,131"
643,Buellton,"5,102"
644,Mayfair,"5,091"
645,Garnet,"5,057"
646,Lakeport,"5,006"
647,Highgrove,"4,986"
648,Needles,"4,976"
649 TIE,Lake San Marcos and Willits,"4,890"
650,Sonora,"4,864"
651,Jackson,"4,840"
652,Guerneville,"4,808"
653,Santa Venetia,"4,790"
654,Lincoln Village,"4,768"
655,Oak View,"4,720"
656,Boulder Creek,"4,712"
657,Fetters Hot Springs-Agua Caliente,"4,697"
658,Heber,"4,686"
659,Brisbane,"4,671"
660,Emerald Lake Hills,"4,594"
661,Portola Valley,"4,568"
662,Highlands-Baywood Park,"4,564"
663,Paradise town,"4,476"
664,Bonsall,"4,464"
665,Sunnyside,"4,451"
666,Planada,"4,418"
667,Mather,"4,408"
668,Santa Ynez,"4,401"
669,Ford City,"4,365"
670,Pacheco,"4,355"
671,Del Mar,"4,319"
672,Copperopolis,"4,299"
673,Running Springs,"4,296"
674,Carmel Valley Village,"4,293"
675 TIE,Wrightwood and Phoenix Lake,"4,283"
676,Humboldt Hill,"4,268"
677,Mountain View Acres,"4,260"
678,North Richmond,"4,233"
679,Mojave,"4,230"
680,Harbison Canyon,"4,223"
681,Ivanhoe,"4,198"
682,Del Monte Forest,"4,197"
683 TIE,McSwain and Lake of the Pines,"4,137"
684,West Menlo Park,"4,116"
685,Bystrom,"4,099"
686,Morada,"4,068"
687,North El Monte,"4,028"
688,San Joaquin,"4,021"
689,Angels,"3,956"
690,Clearlake Riviera,"3,933"
691,Vine Hill,"3,887"
692,Lenwood,"3,884"
693,Wheatland,"3,873"
694 TIE,Shingle Springs and Woodbridge,"3,865"
695,French Camp,"3,857"
696,Carmel-by-the-Sea,"3,811"
697,Felton,"3,810"
698,Burney,"3,807"
699,Moss Beach,"3,799"
700,Camino Tassajara,"3,798"
701 TIE,Pixley and Mission Hills,"3,796"
702,Armona,"3,795"
703,Esparto,"3,783"
704,Las Lomas,"3,755"
705,Bishop,"3,747"
706,Agua Dulce,"3,728"
707,Freedom,"3,719"
708,Brooktrails,"3,709"
709,Forestville,"3,685"
710,Avalon,"3,681"
711,Empire,"3,667"
712,Kennedy,"3,665"
713,Arbuckle,"3,636"
714 TIE,Stallion Springs and Riverdale,"3,625"
715,Reliez Valley,"3,575"
716,Hoopa,"3,573"
717,Pajaro,"3,561"
718,Greenfield,"3,534"
719,Meiners Oaks,"3,508"
720,Mono Vista,"3,504"
721,Auburn Lake Trails,"3,499"
722,Campo,"3,482"
723,Meadow Vista,"3,460"
724,Lake Isabella,"3,454"
725,Squaw Valley,"3,449"
726,Day Valley,"3,439"
727,Valley Springs,"3,428"
728,Monte Sereno,"3,427"
729 TIE,"Angwin, Oakhurst, and El Verano","3,424"
730 TIE,Lockeford and Tarpey Village,"3,390"
731,Hidden Meadows,"3,386"
732,Vandenberg AFB,"3,379"
733,Cabazon,"3,367"
734,Casa Conejo,"3,366"
735,Loyola,"3,364"
736,Rio Dell,"3,349"
737,East Oakdale,"3,344"
738,Desert Edge,"3,343"
739,Kelseyville,"3,332"
740,Goshen,"3,316"
741,Terra Bella,"3,304"
742,Cottonwood,"3,289"
743,Lake California,"3,281"
744,Mount Shasta,"3,274"
745,Morongo Valley,"3,262"
746,Weaverville,"3,240"
747,Tipton,"3,218"
748,East Richmond Heights,"3,214"
749,Seacliff,"3,201"
750,South Oroville,"3,181"
751,Santa Rosa Valley,"3,180"
752,Marin City,"3,173"
753,Anza,"3,151"
754,Nevada City,"3,148"
755,Pine Hills,"3,146"
756,North Lakeport,"3,141"
757,Coronita,"3,138"
758,Rollingwood,"3,110"
759 TIE,Crockett and Cambrian Park,"3,094"
760,Loma Rica,"3,088"
761,San Andreas,"3,085"
762,Ridgemark,"3,062"
763,San Antonio Heights,"3,034"
764,Meadowbrook,"3,033"
765,Cutten,"3,029"
766,Montalvin Manor,"3,023"
767,Oasis,"3,020"
768,Bonny Doon,"3,009"
769,Val Verde,"2,996"
770,Sutter,"2,994"
771,San Miguel,"2,993"
772,Vista Santa Rosa,"2,967"
773,Yountville,"2,966"
774,Penngrove,"2,961"
775,Lucerne,"2,956"
776,Winchester,"2,931"
777,La Selva Beach,"2,917"
778,Strathmore,"2,915"
779,Hartley,"2,907"
780,Fairbanks Ranch,"2,901"
781,North Shore,"2,892"
782,Lake Nacimiento,"2,884"
783,Channel Islands Beach,"2,864"
784 TIE,Kings Beach and Granite Hills,"2,833"
785,Amesti,"2,832"
786,San Miguel CDP,"2,807"
787,Caruthers,"2,773"
788,Dixon Lane-Meadow Creek,"2,760"
789,Mission Canyon,"2,755"
790,Crest,"2,746"
791,Weed,"2,725"
792,Homestead Valley,"2,723"
793 TIE,Cayucos and Montara,"2,692"
794,Jamestown,"2,687"
795,Kelly Ridge,"2,679"
796,Pine Mountain Lake,"2,671"
797,Georgetown,"2,668"
798,West Bishop,"2,661"
799,Collierville,"2,642"
800,Dogtown,"2,629"
801 TIE,Sutter Creek and East Quincy,"2,622"
802,Bayview CDP,"2,617"
803,Bella Vista,"2,614"
804,Rose Hills,"2,612"
805,Richgrove,"2,611"
806,Arnold,"2,605"
807,Lexington Hills,"2,603"
808,Rancho Santa Fe,"2,591"
809,Edwards AFB,"2,571"
810,Frazier Park,"2,570"
811,Lakeview,"2,566"
812,Alturas,"2,563"
813,Aromas,"2,553"
814,Green Acres,"2,542"
815,Twain Harte,"2,523"
816,Santa Nella,"2,508"
817,Desert View Highlands,"2,496"
818,Parksdale,"2,493"
819,Auberry,"2,476"
820,Ahwahnee,"2,461"
821,Idyllwild-Pine Cove,"2,459"
822,Ross,"2,451"
823,Poplar-Cotton Center,"2,436"
824,Sky Valley,"2,430"
825,Taft Heights,"2,424"
826,Hayfork,"2,421"
827,Rouse,"2,420"
828,Three Rivers,"2,397"
829,Nice,"2,393"
830,Bell Canyon,"2,391"
831,Corralitos,"2,381"
832,Patterson Tract,"2,351"
833,Brookdale,"2,345"
834,Boron,"2,312"
835,Pine Canyon,"2,294"
836,Soulsbyville,"2,286"
837,Clearlake Oaks,"2,279"
838,Shingletown,"2,272"
839,Westmorland,"2,254"
840,Borrego Springs,"2,252"
841,Buckhorn,"2,246"
842,Weedpatch,"2,238"
843,Romoland,"2,227"
844,Hamilton City,"2,224"
845,Columbia,"2,217"
846,Easton,"2,206"
847,Sleepy Hollow,"2,200"
848,East Sonora,"2,189"
849,Weldon,"2,181"
850,Laton,"2,166"
851,Chester,"2,116"
852 TIE,Belvedere and San Juan Bautista,"2,104"
853,Murphys,"2,100"
854,Mountain View,"2,066"
855,Bertsch-Oceanview,"2,042"
856,Piru,"2,019"
857,Bethel Island,"2,010"
858,Colfax,"2,002"
859,Rainbow,"1,994"
860,Aptos Hills-Larkin Valley,"1,993"
861,Calwa,"1,974"
862,Wofford Heights,"1,973"
863,Bayview,"1,954"
864,China Lake Acres,"1,947"
865,Lost Hills,"1,943"
866,San Pasqual,"1,932"
867 TIE,Red Corral and Portola,"1,930"
868,Rancho Tehama Reserve,"1,922"
869,Warm Springs,"1,903"
870 TIE,Elizabeth Lake and Quincy,"1,895"
871,Hidden Hills,"1,890"
872,Biggs,"1,879"
873,Graton,"1,877"
874,Fairmead,"1,876"
875,London,"1,854"
876,Parkwood,"1,853"
877,Woodville,"1,852"
878 TIE,Rolling Hills city and Los Molinos,"1,845"
879,Lone Pine,"1,837"
880,Lake Sherwood,"1,835"
881,Shasta,"1,804"
882,Pine Mountain Club,"1,803"
883,Lebec,"1,802"
884,Camino,"1,799"
885,Linden,"1,790"
886,Littlerock,"1,766"
887,Woodlands,"1,743"
888,Toro Canyon,"1,735"
889 TIE,Pine Grove and Los Ranchos,"1,730"
890,Le Grand,"1,726"
891,Monument Hills,"1,700"
892,Seeley,"1,699"
893,South Dos Palos,"1,682"
894,Pine Valley,"1,669"
895,Black Point-Green Point,"1,655"
896,Del Rey Oaks,"1,654"
897,Searles Valley,"1,646"
898,Descanso,"1,644"
899 TIE,Home Garden and Coarsegold,"1,643"
900,Los Alamos,"1,623"
901,Lower Lake,"1,595"
902,Buttonwillow,"1,591"
903,Callender,"1,583"
904,Leona Valley,"1,581"
905,Tuolumne City,"1,577"
906,Green Valley CDP,"1,572"
907,Big Pine,"1,568"
908 TIE,Temelec and Dunsmuir,"1,564"
909,Foresthill,"1,546"
910,Westwood,"1,545"
911,Willow Creek,"1,539"
912,South Taft,"1,526"
913,Forest Meadows,"1,516"
914,Lagunitas-Forest Knolls,"1,504"
915,Knightsen,"1,500"
916,Del Rey,"1,498"
917,Colma,"1,489"
918,Ladera,"1,465"
919,Biola,"1,451"
920,Irwindale,"1,446"
921,Pioneer,"1,443"
922,Chualar,"1,442"
923,Penn Valley,"1,424"
924,Montague,"1,398"
925,Midpines,"1,396"
926,Kettleman City,"1,395"
927,Bodfish,"1,384"
928,Redwood Valley,"1,376"
929,Allendale,"1,362"
930,Thermal,"1,359"
931,Herlong,"1,353"
932,Ferndale,"1,352"
933 TIE,Mariposa and Eldridge,"1,351"
934,Byron,"1,348"
935,Lewiston,"1,340"
936,Malaga,"1,337"
937,Mountain Ranch,"1,306"
938,Woodacre,"1,303"
939,Riverdale Park,"1,301"
940,Walnut Grove,"1,300"
941,Tahoe Vista,"1,288"
942,Shell Ridge,"1,281"
943 TIE,Janesville and Dunnigan,"1,278"
